Date,NAAIM,NAAIM_MA20,SP500_Price_x,SP500_Price_y
2011-02-23,68.125,72.80820721986814,,
2011-03-02,70.91666666666667,72.99728379644469,,
2011-03-09,75.34210526315789,73.15581763103117,,
2011-03-16,41.0,72.32300513103117,,
2011-03-23,50.833333333333336,71.39114238593312,,
2011-03-30,70.91891891891892,71.36423118902192,,
2011-04-06,80.78787878787878,72.07413794892868,,
2011-04-13,80.63414634146342,72.77251193266852,,
2011-04-20,82.95238095238095,73.79651986917646,,
2011-04-27,81.9,74.73625671128173,,
2011-05-04,76.12903225806451,74.80552883700547,,
2011-05-11,74.6590909090909,74.44723338246001,,
2011-05-18,68.41025641025641,73.85714014236677,,
2011-05-25,58.93023255813954,72.87797609459807,,
2011-06-01,52.85714285714285,71.67678561840759,,
2011-06-08,42.79166666666666,70.27494038031236,,
2011-06-15,25.95238095238096,67.76373589851963,,
2011-06-22,29.275,65.12123589851964,,
2011-06-29,31.97560975609756,62.40612749743563,,
2011-07-06,50.38709677419355,60.738896970291634,,
2011-07-13,53.93333333333333,60.02931363695831,,
2011-07-20,66.3076923076923,59.7988649190096,,
2011-07-27,62.695128205128206,59.166516066108116,,
2011-08-03,32.87179487179487,58.76010580969786,,
2011-08-10,21.404761904761905,57.28867723826928,,
2011-08-17,28.77777777777778,55.181620181212224,,
2011-08-24,20.17073170731708,52.15076282718413,,
2011-08-31,22.19047619047619,49.228579319634775,,
2011-09-07,25.31111111111111,46.34651582757128,,
2011-09-14,26.77777777777778,43.59040471646018,,
2011-09-21,27.90384615384616,41.17914541124925,,
2011-09-28,4.175,37.654940865794714,,
2011-10-05,-3.5609756097560976,34.05637926479408,,
2011-10-12,0.0,31.109867636887106,,
2011-10-19,21.318181818181817,29.53291958493906,,
2011-10-26,38.11627906976744,29.2991502050941,,
2011-11-02,45.425,30.27278115747505,,
2011-11-09,44.05128205128205,31.01159526003915,,
2011-11-16,54.0,32.11281477223427,,
2011-11-23,34.772368421052626,31.332078354577227,,
2011-11-30,30.02175,30.136499187910562,,
2011-12-07,34.8,28.561114572525945,,
2011-12-14,35.6945,27.211083162269535,,
2011-12-21,36.62404761904762,27.398695799632172,,
2011-12-28,43.5609756097561,28.50650648488188,,
2012-01-04,43.13636363636363,29.224435777811173,,
2012-01-11,49.34146341463415,30.682972363177026,,
2012-01-18,52.5,32.19844855365322,,
2012-01-25,56.333333333333336,33.749559664764334,,
2012-02-01,67.52272727272727,35.7868071395118,,
2012-02-08,72.6590909090909,38.02456937727404,,
2012-02-15,73.0,41.46581937727404,,
2012-02-22,76.275,45.45761815776185,,
2012-02-29,73.78048780487805,49.14664254800575,,
2012-03-07,57.36842105263158,50.94915450972824,,
2012-03-14,71.78947368421052,52.6328142404504,,
2012-03-21,68.64102564102564,53.79361552250168,,
2012-03-28,71.97142857142858,55.189622848508996,,
2012-04-04,69.8157894736842,55.9804123221932,,
2012-04-11,51.92857142857143,56.83822247256914,,
2012-04-18,46.138888888888886,57.6440794170136,,
2012-04-25,48.30677419354839,58.319418126691005,,
2012-05-02,63.68333333333333,59.71885979335768,,
2012-05-09,64.20868421052633,61.09809162293161,,
2012-05-16,58.714,61.8557428424438,,
2012-05-23,31.78,61.28792466062563,,
2012-05-30,28.651315789473685,60.2534172793676,,
2012-06-06,49.32088235294117,60.09446139701466,,
2012-06-13,43.629428571428576,59.45926615891942,,
2012-06-20,52.33189189189189,58.69972438987766,,
2012-06-27,44.84411764705882,57.308975726776055,,
2012-07-05,63.28064516129032,56.82300798484057,,
2012-07-11,61.846388888888896,56.10157742928502,,
2012-07-18,67.73514285714286,55.799310181898264,,
2012-07-25,74.38878787878788,56.65032852320608,,
2012-08-01,67.80486486486485,56.4510980822388,,
2012-08-08,70.75333333333333,56.556713466854184,,
2012-08-15,76.25944444444445,56.771114260504966,,
2012-08-22,69.20545454545454,56.74059751409349,,
2012-08-29,82.894,58.28886894266492,,
2012-09-05,77.42564102564103,59.853206549502524,,
2012-09-12,72.99351351351352,61.08754351550078,,
2012-09-19,81.18612903225807,61.96268330044702,,
2012-09-26,69.75,62.2397490899207,,
2012-10-03,76.02941176470588,63.105519678156,,
2012-10-10,64.59375,64.746207178156,,
2012-10-17,65.375,66.58239138868231,,
2012-10-24,64.38514285714285,67.33560441389238,,
2012-10-31,75.11314285714286,68.90979012817812,,
2012-11-07,57.9530303030303,69.19084704873504,,
2012-11-14,67.22,70.30964116638208,,
2012-11-21,64.2,70.35560890831756,,
2012-11-28,55.18918918918919,70.02274892333257,,
2012-12-05,75.71142857142857,70.42156320904687,,
2012-12-12,82.90555555555555,70.84740159288525,,
2012-12-19,80.18666666666667,71.46649168297533,,
2012-12-26,88.10344827586206,72.33399743010177,,
2013-01-02,75.98088235294118,72.32006932552662,,
2013-01-09,83.26666666666667,73.02312993158722,,
2013-01-16,84.6725,73.11205493158721,,
2013-01-23,86.3839393939394,73.55996985000215,,
2013-01-30,104.25,75.12279417432646,,
2013-02-06,94.06060606060606,75.76651802574386,,
2013-02-13,89.85387096774194,76.77171157413095,,
2013-02-20,91.0665789473684,77.52356993326408,,
2013-02-27,82.765625,78.43216368326408,,
2013-03-06,90.14620689655172,79.67072402809167,,
2013-03-13,85.63793103448276,80.73336343695867,,
2013-03-20,79.76862068965517,80.96613732858428,,
2013-03-27,80.06363636363636,82.07166763161459,,
2013-04-03,72.708,82.34606763161459,,
